"DMF No",STATUS,"Submission Date","DMF Holder",Molecule
25347,A,9/16/2011,VALDEPHARM,"STERILE ARIPIPRAZOLE MONOHYDRATE"
25348,A,10/22/2011,"CADILA HEALTHCARE LTD","DESVENLAFAXINE BASE"
25349,A,10/17/2011,"KERRY BIOFUNCTIONAL INGREDIENTS INC DBA KERRY BIO SCIENCE","DISINTEQUIK ODT"
25354,A,9/30/2011,"MEGAFINE PHARMA P LTD","BOSENTAN MONOHYDRATE (NON-STERILE DRUG SUBSTANCE)"
25356,A,10/04/2011,"MSN LABORATORIES PRIVATE LTD","AZELASTINE HYDROCHLORIDE USP [ROUTE CODE - ""AH""]"
25358,A,8/18/2011,"SMS PHARMACEUTICALS LTD","SILDENAFIL CITRATE (UNIT-II)"
25360,A,10/04/2011,"LABORATORIOS IMPERIALES SA DE CV","BISMUTH SUBSALICYLATE "
25361,A,11/16/2011,"UNIMARK REMEDIES LTD","BUSPIRONE HYDROCHLORIDE USP"
25362,A,10/25/2011,"UNIMARK REMEDIES LTD","MOXIFLOXACIN HYDROCHLORIDE USP"
25363,A,10/04/2011,"SCI PHARMTECH INC","(+)-THREO-PHENYL-2-PIPERIDIN-2-YL-ACETIC ACID. HCI (5TC)"
25364,A,10/03/2011,"CENTAUR PHARMACEUTICALS PVT LTD","TEMAZEPAM USP"
25365,A,10/07/2011,"ALEMBIC PHARMACEUTICALS LTD","NISOLDIPINE "
25366,A,10/06/2011,"MAPRIMED SA","RASAGILINE MESYLATE (CODE 50855)"
25367,A,10/28/2011,"MALLINCKRODT INC","PARACETAMOL DC 272N (GELATIN)"
25370,A,10/03/2011,"ZEVACOR PHARMA INC DBA ZEVACOR",3'-DEOXY-3'-[18F]FLUOROTHYMIDINE
25371,A,10/07/2011,"GE HEALTHCARE INC","FASTLAB FDG CITRATE CASSETTE PACK "
25373,A,10/11/2011,"ALEMBIC PHARMACEUTICALS LTD","FELODIPINE USP "
25378,A,9/29/2011,"QILU PHARMACEUTICAL CO LTD","ROPIVACAINE HYDROCHLORIDE (NON STERILE, API)"
25380,A,10/07/2011,"CENTAUR PHARMACEUTICALS PVT LTD","NORTRIPTYLINE HCI USP"
25382,A,10/12/2011,"DISHMAN NETHERLANDS BV","CHOLESTEROL HP"
25385,A,10/13/2011,"CHEMI SPA","MESALAMINE CRYSTALLIZED, USP"
25387,A,9/01/2011,"FRESENIUS KABI ANTI INFECTIVES SRL","BUFFERED NAFCILLIN SODIUM STERILE"
25389,A,9/29/2011,"PIRAMAL ENTERPRISES LTD",ACYCLOVIR
25393,A,10/18/2011,"EUTICALS SPA",BUSULFAN
25394,A,10/18/2011,"EUTICALS SPA","BENDAMUSTINE HYDROCHLORIDE HYDRATE"
25399,A,11/03/2011,"GLAND CHEMICALS PRIVATE LTD","PEMETREXED DISODIUM 2.5 HYDRATE"
25400,A,10/27/2011,"GLAND PHARMA LTD","ARGATROBAN MONOHYDRATE"
25401,A,10/31/2011,"GLAND PHARMA LTD","INDOMETHACIN SODIUM USP"
25402,A,10/14/2011,"MEGAFINE PHARMA P LTD","MEMANTINE HYDROCHLORIDE USP"
25406,A,10/18/2011,"JINAN JINDA PHARMACEUTICAL CHEMISTRY CO LTD","CIDOFOVIR DIHYDRATE "
25410,A,10/21/2011,"MACLEODS PHARMACEUTICALS LTD",ENTACAPONE
25411,A,10/20/2011,"HETERO LABS LTD","HYDRALAZINE HYDROCHLORIDE, USP (PARENTERAL GRADE)"
25412,A,10/19/2011,"ZHEJIANG JIUZHOU PHARMACEUTICAL CO LTD","NILOTINIB HYDROCHLORIDE MONOHYDRATE (VERSION NO.: 1)"
25417,A,10/17/2011,"LAB EXPRESS INTERNATIONAL INC","CHLORHEXIDINE GLUCONATE SOLUTION USP 20%"
25418,A,10/25/2011,"SYMED LABS LTD","MECLIZINE HYDROCHLORIDE"
25420,A,11/22/2011,"DSM NUTRITIONAL PRODUCTS CANADA INC","HIGH EPA INTERMEDIATE FISH OIL"
25421,A,3/01/2012,"EXCELLA GMBH AND CO KG","DEFEROXAMINE MESYLATE USP"
25424,A,11/03/2011,"AUROBINDO PHARMA LTD","SILDENAFIL CITRATE USP (NON-STERILE DRUG SUBSTANCE)"
25425,A,11/28/2011,"DR REDDYS LABORATORIES LTD",LINEZOLID
25426,A,10/27/2011,"HETERO DRUGS LTD","SERTRALINE HYDROCHLORIDE, USP (FORM 1)"
25427,A,1/03/2012,"AMOLI ORGANICS PVT LTD","CELECOXIB USP"
25433,A,12/29/2011,"EMCURE PHARMACEUTICALS LTD","BUSULFAN USP "
25434,A,12/31/2011,"SUN PHARMACEUTICAL INDUSTRIES LTD","SEVELAMER HYDROCHLORIDE"
25436,A,10/07/2011,"AVANTI POLAR LIPIDS INC"," 1,2-DISTEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE (DSPC)  
(730365)
"
25440,A,10/31/2011,"MAC CHEM PRODUCTS INDIA PVT LTD","SUCCINYLCHOLINE CHLORIDE USP"
25443,A,11/28/2011,"ORCHID CHEMICALS AND PHARMACEUTICALS LTD","CEFEPIME HCI USP"
25446,A,11/12/2011,"CADILA HEALTHCARE LTD","IRBESARTAN USP"
25447,A,2/08/2012,"CADILA HEALTHCARE LTD","DESVENLAFAXINE SUCCINATE"
25448,A,10/31/2011,"SYMBIOTEC PHARMALAB PRIVATE LTD","MOMETASONE FUROATE MONOHYDRATE "
25454,A,11/15/2011,"CHEMSPEC API","MENADIOL SODIUM DIPHOSPHATE"
25455,A,10/21/2011,"ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD","CANDESARTAN CILEXETIL USP"
25456,A,10/10/2011,"VASUDHA PHARMA CHEM LTD","CYPROHEPTADINE HCL USP"
25457,A,10/17/2011,"BIOPHORE INDIA PHARMACEUTICALS PVT LTD","PENTETIC ACID"
25460,A,11/15/2011,"JUBILANT HOLLISTERSTIER LLC","STERILE EMPTY VIALS"
25461,A,10/07/2011,"CHENG FONG CHEMICAL CO LTD","PROCAINAMIDE HYDROCHLORIDE"
25462,A,12/14/2011,"PAR PHARMACEUTICAL INC","PIMOZIDE USP"
25464,A,10/20/2011,"ZHEJIANG APELOA JIAYUAN PHARMACEUTICAL CO LTD","CLOPIDOGREL BISULFATE "
25465,A,9/29/2011,"KEKULE PHARMA LTD",NILUTAMIDE
25466,A,10/31/2011,"SYN-TECH CHEM AND PHARM CO LTD","TOLPERISONE HYDROCHLORIDE"
25467,A,11/03/2011,"EXEMED PHARMACEUTICALS","METFORMIN HYDROCHLORIDE USP"
25469,A,10/10/2011,"HUAYI ISOTOPES CO","OXYGEN-18 WATER"
25470,A,11/19/2011,"ARCH PHARMALABS LTD","CLOPIDOGREL CAMPHOR SULPHONATE SALT"
25472,A,1/10/2012,"MACLEODS PHARMACEUTICALS LTD",ARIPIPRAZOLE
25477,A,11/03/2011,"FRESENIUS KABI ANTI INFECTIVES SRL","AMPICILLIN SODIUM/SULBACTAM SODIUM "
25478,A,11/07/2011,"ICROM SPA","BRINZOLAMIDE (MICRONIZED AND NON MICRONIZED, STERILE AND NON STERILE)"
25479,A,11/04/2011,"MEISSNER FILTRATION PRODUCTS INC","FLUOROFLEX BIOCONTAINERS"
25483,A,11/08/2011,"TEVA PHARMACEUTICAL INDUSTRIES LTD","IRBESARTAN USP"
25484,A,12/06/2011,"EMCURE PHARMACEUTICALS LTD","ANASTROZOLE USP"
25486,A,11/08/2011,"TOYOX CO LTD","TOYOX SILICONE HOSE SERIES"
25490,A,11/08/2011,"AVANTI POLAR LIPIDS INC","1,2-DIMYRISTOYL-SN-GLYCERO-3-PHOSPHOCHOLINE, PROCESS II (DMPC II)"
25491,A,12/07/2011,"SHILPA MEDICARE LTD","BUSULFAN USP"
25492,A,11/08/2011,"APOTEX PHARMACHEM INDIA PVT LTD",LINEZOLID
25493,A,11/08/2011,"APOTEX PHARMACHEM INDIA PVT LTD","LANSOPRAZOLE USP"
25494,A,11/08/2011,"APOTEX PHARMACHEM INDIA PVT LTD","OLMESARTAN MEDOXOMIL USP"
25495,A,11/03/2011,"INTAS PHARMACEUTICALS LTD","DOCETAXEL ANHYDROUS USP"
25497,A,11/18/2011,"CHEMSPEC API",ISOCARBOXAZID
25498,A,11/11/2011,"TORRENT PHARMACEUTICALS LTD",LEVODOPA
25499,A,11/10/2011,"HANGZHOU ZHONGMEI HUADONG PHARMACEUTICAL CO LTD","PANTOPRAZOLE SODIUM"
25501,A,11/07/2011,"SUNBIO INC","METHOXY POLYETHYLENE GLYCOL BENZOTRIAZOLYL CARBONATE 20,000"
25503,A,12/20/2011,"ALEMBIC PHARMACEUTICALS LTD","ZOLMITRIPTAN USP"
25504,A,6/02/2011,"SANOFI-AVENTIS DEUTSCHLAND GMBH",PREDNICARBATE
25506,A,11/14/2011,"DISHMAN PHARMACEUTICALS AND CHEMICALS LTD","ROPIVACAINE HYDROCHLORIDE MONOHYDRATE "
25507,A,11/15/2011,"SIEGFRIED USA LLC","BUPRENORPHINE HYDROCHLORIDE USP"
25511,A,11/17/2011,"JIANGSU HENGRUI MEDICINE CO LTD","CISATRACURIUM BESYLATE, USP, NON-STERILE, BULK DRUG SUBSTANCE"
25512,A,11/18/2011,"HERAEUS DEUTSCHLAND GMBH AND CO KG","BENDAMUSTINE HYDROCHLORIDE MONOHYDRATE"
25513,A,11/15/2011,"MSN ORGANICS PRIVATE LTD","TADALAFIL USP [ROUTE CODE - ""TD""]"
25514,A,11/22/2011,"SMS PHARMACEUTICALS LTD","ITRACONAZOLE USP"
25517,A,12/06/2011,"AUROBINDO PHARMA LTD","ATAZANAVIR SULFATE (NON-STERILE DRUG SUBSTANCE)"
25519,A,11/21/2011,"WUXI JIDA PHARMACEUTICAL CO LTD","ESCITALOPRAM OXALATE"
25523,A,11/24/2011,"ICROM SPA",AMISULPRIDE
25524,A,11/24/2011,"CHONGQING HUAPONT PHARMACEUTICAL CO LTD","BENDAMUSTINE HCL"
25525,A,11/23/2011,"PHYTON BIOTECH LLC","PACLITAXEL PRODUCED BY PLANT CELL FERMENTATION USP"
25526,A,11/21/2011,"FRESENIUS KABI ANTI INFECTIVES SRL","BUFFERED PENICILLIN G POTASSIUM STERILE"
25527,A,11/28/2011,"ALEMBIC PHARMACEUTICALS LTD","O-DESMETHYL VENLAFAXINE "
25528,A,12/17/2014,"CHEMWERTH INC",NEPAFENAC
25530,A,12/08/2011,"TORRENT PHARMACEUTICALS LTD","DARIFENACIN HYDROBROMIDE"
25531,A,5/14/2012,"CHENGDU SHENGNUO BIOPHARM CO LTD","BIVALIRUDIN (NON-STERILE BULK DRUG)"
25532,A,12/16/2011,"FRESENIUS KABI ONCOLOGY LTD",DECITABINE
25533,A,11/21/2011,"ZHEJIANG APELOA JIAYUAN PHARMACEUTICAL CO LTD",METAXALONE
25534,A,11/28/2011,"SYMBIOTEC PHARMALAB PRIVATE LTD","TESTOSTERONE UNDECANOATE "
25535,A,11/28/2011,"SYMBIOTEC PHARMALAB PRIVATE LTD","TESTOSTERONE PROPIONATE, USP (MICRONIZED) "
25536,A,11/16/2011,"DAEWOONG BIO INC","URSODIOL USP (PROCESS I)"
25538,A,12/06/2011,"COSMA SPA",GLICLAZIDE
25541,A,11/30/2011,"FERMION OY",OSPEMIFENE
25542,A,11/29/2011,"AVANTHERA SA",BEXAROTENE
25543,A,11/30/2011,"NEULAND LABORATORIES LTD",EZETIMIBE
25544,A,11/24/2011,"HIKMA PHARMACEUTICALS PLC","MILRINONE, USP "
25545,A,11/29/2011,"FRESENIUS KABI ANTI INFECTIVES SRL","PIPERACILLIN SODIUM/ TAZOBACTAM SODIUM (8:1) STERILE LYOPHILIZED"
25547,A,12/01/2011,"SYMBIOTEC PHARMALAB PRIVATE LTD",FLUMETHASONE
25548,A,12/01/2011,"ALPHORA RESEARCH INC","TREPROSTINIL SODIUM "
25549,A,11/30/2011,"SCINOPHARM TAIWAN LTD","ENTECAVIR MONOHYDRATE"
25550,A,12/01/2011,"HETERO LABS LTD",ETRAVIRINE
25552,A,11/09/2011,"ZHEJIANG TIANYU PHARMACEUTICAL CO LTD","TELMISARTAN METHYL ESTER"
25556,A,12/20/2011,"GLAND PHARMA LTD","DALTEPARIN SODIUM PH.EUR."
25557,A,12/05/2011,"SHARON BIO MEDICINE LTD","NIFEDIPINE USP "
25559,A,3/15/2012,"RELIANCE LIFE SCIENCES PVT LTD","PEMETREXED DISODIUM"
25560,A,12/22/2011,"ALCHYMARS ICM SM PRIVATE LTD","SODIUM PHENYLBUTYRATE USP"
25561,A,5/02/2012,"NECTAR LIFESCIENCES LTD","CEFTRIAXONE SODIUM USP (STERILE) DRUG SUBSTANCE (PROCESS-II)"
25563,A,12/07/2011,"GLOCHEM INDUSTRIES LTD",CARBIDOPA
25564,A,11/24/2011,"KOTHARI PHYTOCHEMICALS INTERNATIONAL","METFORMIN HYDROCHLORIDE USP"
25565,A,12/06/2011,"COPPERHEAD INVESTMENTS INC","SDM® 12, DILUTED NITROGLYCERIN USP"
25567,A,12/06/2011,"HETERO LABS LTD","ATAZANAVIR SULFATE"
25568,A,12/06/2011,"NEULAND LABORATORIES LTD","MONTELUKAST SODIUM "
25569,A,2/24/2012,"LUPIN LTD","FOSAMPRENAVIR CALCIUM"
25570,A,12/29/2011,"NECTAR LIFESCIENCES LTD","CEFDINIR USP"
25572,A,12/12/2011,"HETERO DRUGS LTD",APREPITANT
25573,A,12/08/2011,"NORAC INC","NGT-10100 (Methamphetamine Hydrochloride)"
25576,A,12/09/2011,"QILU PHARMACEUTICAL CO LTD","DOCETAXEL TRIHYDRATE"
25577,A,11/28/2011,"MYLAN LABORATORIES LTD",ILOPERIDONE
25578,A,11/29/2011,"MYLAN LABORATORIES LTD","FOSAMPRENAVIR CALCIUM"
25579,A,11/30/2011,"MYLAN LABORATORIES LTD","SEVELAMER HYDROCHLORIDE"
25580,A,1/11/2012,"PAR PHARMACEUTICAL INC","PHENOXYBENZAMINE HYDROCHLORIDE USP"
25581,A,12/12/2011,"ALEMBIC PHARMACEUTICALS LTD","FAMOTIDINE USP"
25582,A,8/16/2011,"JIANGXI SYNERGY PHARMACEUTICAL CO LTD",CELECOXIB
25584,A,12/23/2011,"FERMENTA BIOTECH LTD","CHOLECALCIFEROL USP (CRYSTALLINE VITAMIN D3)"
25587,A,12/13/2011,"HETERO DRUGS LTD",ACYCLOVIR
25588,A,3/20/2012,"EMCURE PHARMACEUTICALS LTD","PROPAFENONE HYDROCHLORIDE USP"
25590,A,1/30/2012,"CHEMSPEC API","PROCARBAZINE HYDROCHLORIDE"
25593,A,12/15/2011,"FARMABIOS SPA","METHYLTESTOSTERONE (MICRONIZED)"
25594,A,1/19/2012,"SUN PHARMACEUTICAL INDUSTRIES LTD",DOXERCALCIFEROL
25595,A,6/06/2012,"K+S KALI GMBH","POTASSIUM CHLORIDE 99.9% KCI PH. EUR., USP"
25598,A,12/19/2011,"HAYASHIBARA CO LTD","MALTOSE MONOHYDRATE "
25605,A,12/19/2011,"WUXI JIDA PHARMACEUTICAL CO LTD",RISPERIDONE
25606,A,12/13/2011,"ZHEJIANG XIANJU PHARMACEUTICAL CO LTD","TESTOSTERONE PROPIONATE NON-STERILE BULK DRUG SUBSTANCE"
25608,A,12/22/2011,"SMS PHARMACEUTICALS LTD","RANITIDINE HYDROCHLORIDE USP (UNIT-VII)"
25609,A,10/25/2011,"JIANGXI FUSHINE PHARMACEUTICAL CO LTD",SULBACTAM
25612,A,12/22/2011,"MEDICHEM MANUFACTURING MALTA LTD","MED-200400/M (Desvenlafaxine Succinate)"
25613,A,2/12/2011,"VITAL LABORATORIES PVT LTD","SCOPOLAMINE HYDRO BROMIDE USP"
25614,A,12/21/2011,"HETERO DRUGS LTD","FOSAPREPITANT DIMEGLUMINE"
25615,A,12/20/2011,"FARMABIOS SPA","BUDESONIDE MICRONIZED STERILE"
25617,A,12/19/2011,"SHANGHAI DESANO CHEMICAL PHARMACEUTICAL CO LTD",EMTRICITABINE
25619,A,12/16/2011,"SOCIETE INDUSTRIELLE DES OLEAGINEUX","BXR US REFINED SOYBEAN OIL"
25620,A,12/16/2011,"SOCIETE INDUSTRIELLE DES OLEAGINEUX","BXR US REFINED OLIVE OIL"
25621,A,12/22/2011,"TEVA PHARMACEUTICAL INDUSTRIES LTD",OMEPRAZOLE
25622,A,12/22/2011,"EUTICALS SPA","ROCURONIUM BROMIDE"
25623,A,12/22/2011,"INKE SA","RIZATRIPTAN BENZOATE"
25624,A,12/27/2011,"MAC CHEM PRODUCTS INDIA PVT LTD","DACARBAZINE USP "
25628,A,12/22/2011,"SIEGFRIED USA LLC","OXYMORPHONE HYDROCHLORIDE USP (LOW ABUK IMPURITY)"
25629,A,12/23/2011,"CRYSTAL PHARMA SAU","BUDESONIDE MICRONIZED"
25630,A,12/27/2011,"EVERLIGHT CHEMICAL INDUSTRIAL CORP","RASAGILINE MESYLATE"
25631,A,12/05/2011,"HUNAN YUANTONG PHARMACEUTICAL CO LTD",DIOSMIN
25632,A,12/13/2011,"VITAL LABORATORIES PVT LTD","YOHIMBINE HYDROCHLORIDE"
25633,A,2/15/2012,"APICORE US LLC",CLOFARABINE
25634,A,12/27/2011,"SCINOPHARM TAIWAN LTD","BIVALIRUDIN "
25636,A,12/28/2011,"RAKS PHARMA PVT LTD","CELECOXIB, USP"
25637,A,12/29/2011,"HETERO DRUGS LTD","FEXOFENADINE HYDROCHLORIDE"
25638,A,12/29/2011,"ZAKLADY FARMACEUTYCZNE POLPHARMA SA","IBANDRONATE SODIUM MONOHYDRATE"
25639,A,12/29/2011,"MYLAN LABORATORIES LTD","SEVELAMER CARBONATE"
25640,A,12/27/2011,"SUZHOU LIXIN PHARMACEUTICAL CO LTD","PEMETREXED DISODIUM (NON STERILE)"
25642,A,12/28/2011,"MEGAFINE PHARMA P LTD","PALIPERIDONE USP (NON- STERILE DRUG SUBSTANCE)"
25644,A,12/29/2011,"CHEMWERTH INC","MELPHALAN HCL, NON-STERILE, BULK DRUG SUBSTANCE"
25646,A,2/16/2012,"CADILA HEALTHCARE LTD","SALMETEROL XINAFOATE USP"
25647,A,2/21/2012,"CADILA HEALTHCARE LTD","ETHACRYNIC ACID USP"
25648,A,12/30/2011,"RAKS PHARMA PVT LTD","RABEPRAZOLE SODIUM USP"
25649,A,1/16/2012,"SUN PHARMACEUTICAL INDUSTRIES LTD","FOSAMPRENAVIR CALCIUM"
25650,A,1/10/2012,"AUROBINDO PHARMA LTD","RALOXIFENE HYDROCHLORIDE USP (NON-STERILE DRUG SUBSTANCE)"
25651,A,12/30/2011,"MYLAN LABORATORIES LTD","PRASUGREL HYDROCHLORIDE"
25652,A,12/30/2011,"MYLAN LABORATORIES LTD","DESMOPRESSIN ACETATE USP"
25653,A,12/30/2011,"MYLAN LABORATORIES LTD","EZETIMIBE USP"
25654,A,1/03/2012,"TEVA PHARMACEUTICAL INDUSTRIES LTD","LOSARTAN POTASSIUM"
25656,A,1/13/2012,"WOCKHARDT LTD","DESVENLAFAXINE SUCCINATE MONOHYDRATE"
25657,A,2/20/2012,"SUN PHARMACEUTICAL INDUSTRIES LTD","ATORVASTATIN CALCIUM (AMORPHOUS)"
25659,A,12/30/2011,"ZHEJIANG HISUN PHARMACEUTICAL CO LTD","MITOMYCIN USP (ALTERNATIVE PROCESS)"
25662,A,3/27/2012,"IPCA LABORATORIES LTD","TRIMETHOPRIM USP"
25663,A,1/03/2012,"TORRENT PHARMACEUTICALS LTD",REPAGLINIDE
25665,A,12/30/2011,"SCINOPHARM TAIWAN LTD",BORTEZOMIB
25666,A,12/22/2011,"CHONGQING KANGLE PHARMACEUTICAL CO LTD","CILOSTAZOL USP "
25667,A,2/02/2012,"CHEMWERTH INC","BUSULFAN USP NON-STERILE BULK DRUG"
25669,A,2/16/2012,"UNIMARK REMEDIES LTD","DRONEDARONE HYDROCHLORIDE"
25670,A,1/17/2012,"SRI KRISHNA PHARMACEUTICALS LTD","BUTORPHANOL TARTRATE USP"
25672,A,1/04/2012,"SAMYANG BIOPHARMACEUTICALS CORP","DOCETAXEL ANHYDROUS "
25673,A,4/10/2012,"LUNDBECK PHARMACEUTICALS ITALY SPA",ETHOTOIN
25676,A,1/04/2012,"DIPHARMA FRANCIS SRL","RUFINAMIDE USP "
25677,A,1/04/2012,"DIPHARMA FRANCIS SRL","DICLOFENAC EPOLAMINE"
25678,A,1/04/2012,"SAMYANG BIOPHARMACEUTICALS CORP","DOCETAXEL TRIHYDRATE "
25679,A,1/05/2012,"DAEWOONG BIO INC","STERILE MEROPENEM"
25680,A,1/05/2012,"DAEWOONG BIO INC",IOPROMIDE
25682,A,1/06/2012,"MSN LABORATORIES PRIVATE LTD","FOSAPREPITANT DIMEGLUMINE [ROUTE CODE - ""FD""]"
25683,A,12/22/2011,"ICROM SPA",RISPERIDONE
25685,A,12/20/2011,"ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD","ARIPIPRAZOLE USP"
25686,A,1/09/2012,"HETERO LABS LTD","IRINOTECAN HYDROCHLORIDE TRIHYDRATE, USP (FORM B)"
25694,A,1/18/2012,"AUROBINDO PHARMA LTD","TADALAFIL USP (NON-STERILE DRUG SUBSTANCE)"
25700,A,1/09/2012,"FORMOSA LABORATORIES INC",LINEZOLID
25701,A,1/09/2012,"FORMOSA LABORATORIES INC","ULIPRISTAL ACETATE "
25703,A,4/09/2012,"BIOCON LTD","TRAVOPROST USP DRUG SUBSTANCE"
25705,A,1/09/2012,"QILU ANTIBIOTICS LINYI PHARMACEUTICAL CO LTD","TERBINAFINE HYDROCHLORIDE (NON STERILE, API)"
25707,A,12/20/2011,"ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD","VORICONAZOLE USP"
25711,A,2/18/2012,"MACLEODS PHARMACEUTICALS LTD","RABEPRAZOLE SODIUM"
25712,A,1/18/2012,"HETERO DRUGS LTD","OMEPRAZOLE, USP (FORM B)"
25713,A,1/05/2012,"MSN ORGANICS PRIVATE LTD","TOPIRAMATE USP [ROUTE CODE - ""TI""]"
25714,A,1/16/2012,"SHANDONG NEW TIME PHARMACEUTICAL CO LTD","POTASSIUM CLAVULANATE, DILUTED WITH SILICON DIOXIDE IN THE RATIO 1:1 "
25716,A,1/14/2012,"QILU ANTIBIOTICS PHARMACEUTICAL CO LTD","STERILE CEFAZOLIN SODIUM PROCESS 1 BULK ANTIBIOTIC DRUG SUBSTANCE"
25717,A,2/23/2012,"COSMA SPA","MILNACIPRAN HYDROCHLORIDE"
25718,A,1/16/2012,"SHANDONG NEW TIME PHARMACEUTICAL CO LTD","CLAVULANATE POTASSIUM "
25719,A,1/16/2012,"SHANDONG NEW TIME PHARMACEUTICAL CO LTD","POTASSIUM CLAVULANATE, DILUTED WITH MICROCRYSTALLINE CELLULOSE IN THE RATIO 1:1"
25721,A,12/20/2011,"ZHEJIANG HUAHAI PHARMACEUTICAL CO LTD","CARVEDILOL DIHYDROGEN PHOSPHATE HEMIHYDRATE USP"
25726,A,1/25/2012,"CHENG FONG CHEMICAL CO LTD","4-PHENYLBUTYRIC ACID SODIUM SALT"
25727,A,3/26/2012,"LUPIN LTD","DESVENLAFAXINE BENZOATE"
25728,A,1/19/2011,"BIOCON LTD","HYDROXY ECHINOCANDIN "
25730,A,1/24/2012,"MSN LABORATORIES PRIVATE LTD","BICALUTAMIDE USP [ROUTE CODE - ""BL""]"
25731,A,1/25/2012,"NS PHARMA INC","NS-018 A DRUG SUBSTANCE"
25733,A,1/26/2012,"NEULAND LABORATORIES LTD","DEFERASIROX "
25734,A,3/08/2012,"DR REDDYS LABORATORIES LTD","ZOLMITRIPTAN (PROCESS-II)"
25736,A,1/24/2012,"BCN PEPTIDES SA","VASOPRESSIN "
25738,A,2/07/2012,"WISDOM PHARMACEUTICAL CO LTD","BENAZEPRIL HYDROCHLORIDE"
25740,A,1/26/2012,"POLYMED THERAPEUTICS INC","BORTEZOMIB DRUG SUBSTANCE "
25742,A,1/25/2012,"SIGNA SA DE CV","TELMISARTAN USP/EP"
25744,A,2/23/2012,"EMCURE PHARMACEUTICALS LTD","MYCOPHENOLATE MOFETIL USP"
25745,A,3/26/2012,"DR REDDYS LABORATORIES LTD","ASENAPINE MALEATE"
25746,A,1/31/2012,"APOTEX PHARMACHEM INDIA PVT LTD","MYCOPHENOLATE MOFETIL USP"
25748,A,1/30/2012,"BLUE ZONE TECHNOLOGIES LTD","DESFLURANE USP"
25749,A,1/30/2012,"TEVA PHARMACEUTICAL INDUSTRIES LTD","DESVENLAFAXINE SUCCINATE"
25750,A,3/20/2012,"EMCURE PHARMACEUTICALS LTD",NISOLDIPINE
25751,A,2/24/2012,"LUPIN LTD","DESVENLAFAXINE SUCCINATE"
25753,A,4/02/2012,"LUPIN LTD","RALTEGRAVIR POTASSIUM"
25758,A,2/03/2012,"PFANSTIEHL INC","PODOPHYLLOTOXIN (P-126) "
25760,A,2/03/2012,"LIFECORE BIOMEDICAL LLC","SODIUM HYALURONATE POWDER, SPECIFICATION LPD-9800037, PH 4.0 PROCESS"
25761,A,2/24/2012,"UNIMARK REMEDIES LTD",FEBUXOSTATE
25762,A,2/08/2012,"AMOLI ORGANICS PVT LTD","LEVETIRACETAM USP [ROUTE CODE - LVS]"
25763,A,3/19/2012,"EMCURE PHARMACEUTICALS LTD","IBUTILIDE FUMARATE USP"
25764,A,3/20/2012,"EMCURE PHARMACEUTICALS LTD","RIZATRIPTAN BENZOATE USP"
25765,A,3/19/2012,"EMCURE PHARMACEUTICALS LTD","ARGATROBAN MONOHYDRATE"
25766,A,7/25/2012,"MALLINCKRODT INC","HYDROMORPHONE HYDROCHLORIDE USP (NP)"
25768,A,3/01/2012,"ORCHID CHEMICALS AND PHARMACEUTICALS LTD","RISEDRONATE SODIUM"
25769,A,2/07/2012,"POLYMED THERAPEUTICS INC","CABAZITAXEL MONOHYDRATE DRUG SUBSTANCE"
25770,A,2/09/2012,"HETERO LABS LTD","QUETIAPINE FUMARATE (PROCESS II)"
25773,A,3/29/2012,"GLENMARK PHARMACEUTICALS LTD","SITAGLIPTIN PHOSPHATE"
25776,A,9/30/2013,"MALLINCKRODT INC","METHYLPHENIDATE HYDROCHLORIDE USP (NP)"
25777,A,2/13/2012,"APOTEX PHARMACHEM INC","DESVENLAFAXINE SUCCINATE MONOHYDRATE"
25778,A,2/27/2012,"ALEMBIC PHARMACEUTICALS LTD","FLUOXETINE HYDROCHLORIDE USP"
25779,A,2/14/2012,"INOGENT LABORATORIES PRIVATE LTD",LAMOTRINGINE
25781,A,2/10/2012,"ZHEJIANG NEO DANKONG PHARMACEUTICAL CO LTD","ROSUVASTATIN CALCIUM, NON- STERILE BULK DRUG SUBSTANCES"
25784,A,2/15/2012,"AVANTI POLAR LIPIDS INC","(5Z,8Z, 11Z)-N-CYCLOPROPYL-14-(N-ISOPROPYL-HEXANAMIDO) TETRADECA-5,8,11-TRIENAMIDE (CMX-20)"
25787,A,3/27/2012,"LUPIN LTD","TENOFOVIR DISOPROXIL FUMARATE"
25789,A,3/01/2013,"CHEMSPEC API","CALCIUM LEVOMEFOLATE"
25790,A,1/19/2012,"MEITEK TECHNOLOGY QINGDAO CO LTD","CHONDROITIN SULFATE SODIUM"
25791,A,2/14/2012,"FARMABIOS SPA","MELPHALAN HYDROCHLORIDE"
25792,A,6/29/2012,"MACLEODS PHARMACEUTICALS LTD",CELECOXIB
25793,A,4/09/2012,"MACLEODS PHARMACEUTICALS LTD","IBANDRONATE SODIUM MONOHYDRATE"
25794,A,3/14/2012,"MACLEODS PHARMACEUTICALS LTD",LANSOPRAZOLE
25795,A,4/09/2012,"MACLEODS PHARMACEUTICALS LTD","VARDENAFIL HYDROCHLORIDE TRIHYDRATE"
